Repository,URL,Count,Committers,Commits,Additions,Deletions
cisagov/RedEye,https://github.com/cisagov/RedEye,39,2,39,120566,1011
google/osv-scanner,https://github.com/google/osv-scanner,7,0,0,0,0
Octoberfest7/Inline-Execute-PE,https://github.com/Octoberfest7/Inline-Execute-PE,7,0,0,0,0
daddycocoaman/azbelt,https://github.com/daddycocoaman/azbelt,6,0,0,0,0
A-poc/RedTeam-Tools,https://github.com/A-poc/RedTeam-Tools,6,0,0,0,0
redteamsocietegenerale/DLLirant,https://github.com/redteamsocietegenerale/DLLirant,5,0,0,0,0
ironmansoftware/psmsi,https://github.com/ironmansoftware/psmsi,5,0,0,0,0
epi052/feroxbuster,https://github.com/epi052/feroxbuster,5,0,0,0,0
CMEPW/BypassAV,https://github.com/CMEPW/BypassAV,5,0,0,0,0
zblurx/certsync,https://github.com/zblurx/certsync,5,0,0,0,0
cisagov/ScubaGear,https://github.com/cisagov/ScubaGear,5,0,0,0,0
NUL0x4C/APCLdr,https://github.com/NUL0x4C/APCLdr,5,0,0,0,0
projectdiscovery/katana,https://github.com/projectdiscovery/katana,5,0,0,0,0
enaqx/awesome-pentest,https://github.com/enaqx/awesome-pentest,4,0,0,0,0
DominicBreuker/pspy,https://github.com/DominicBreuker/pspy,4,0,0,0,0
certsocietegenerale/IRM,https://github.com/certsocietegenerale/IRM,4,0,0,0,0
capt-meelo/laZzzy,https://github.com/capt-meelo/laZzzy,4,0,0,0,0
LOLBAS-Project/LOLBAS,https://github.com/LOLBAS-Project/LOLBAS,4,0,0,0,0
vullabs/Crassus,https://github.com/vullabs/Crassus,4,0,0,0,0
knavesec/CredMaster,https://github.com/knavesec/CredMaster,4,0,0,0,0
weak1337/Alcatraz,https://github.com/weak1337/Alcatraz,4,0,0,0,0
ly4k/PassTheChallenge,https://github.com/ly4k/PassTheChallenge,4,0,0,0,0
mrh0wl/Cloudmare,https://github.com/mrh0wl/Cloudmare,4,0,0,0,0
fathyb/carbonyl,https://github.com/fathyb/carbonyl,4,0,0,0,0
Porchetta-Industries/CrackMapExec,https://github.com/Porchetta-Industries/CrackMapExec,4,0,0,0,0
chainguard-dev/osquery-defense-kit,https://github.com/chainguard-dev/osquery-defense-kit,4,0,0,0,0
AndrewRathbun/DFIRArtifactMuseum,https://github.com/AndrewRathbun/DFIRArtifactMuseum,4,0,0,0,0
BishopFox/sliver,https://github.com/BishopFox/sliver,4,0,0,0,0
swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,4,0,0,0,0
sensepost/impersonate,https://github.com/sensepost/impersonate,4,0,0,0,0
nettitude/ShellcodeMutator,https://github.com/nettitude/ShellcodeMutator,4,0,0,0,0
testanull/ProxyNotShell-PoC,https://github.com/testanull/ProxyNotShell-PoC,4,0,0,0,0
HavocFramework/Havoc,https://github.com/HavocFramework/Havoc,4,0,0,0,0
flipperdevices/flipperzero-firmware,https://github.com/flipperdevices/flipperzero-firmware,4,0,0,0,0
Accenture/Spartacus,https://github.com/Accenture/Spartacus,4,0,0,0,0
Idov31/Venom,https://github.com/Idov31/Venom,4,0,0,0,0
Lissy93/personal-security-checklist,https://github.com/Lissy93/personal-security-checklist,3,0,0,0,0
blaCCkHatHacEEkr/PENTESTING-BIBLE,https://github.com/blaCCkHatHacEEkr/PENTESTING-BIBLE,3,0,0,0,0
carlospolop/PEASS-ng,https://github.com/carlospolop/PEASS-ng,3,0,0,0,0
hodgesmr/mastodon_digest,https://github.com/hodgesmr/mastodon_digest,3,0,0,0,0
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,3,0,0,0,0
ThePorgs/impacket,https://github.com/ThePorgs/impacket,3,0,0,0,0
gtworek/PSBits,https://github.com/gtworek/PSBits,3,0,0,0,0
peasead/elastic-container,https://github.com/peasead/elastic-container,3,0,0,0,0
praetorian-inc/noseyparker,https://github.com/praetorian-inc/noseyparker,3,0,0,0,0
REDMED-X/OperatorsKit,https://github.com/REDMED-X/OperatorsKit,3,0,0,0,0
NUL0x4C/AtomPePacker,https://github.com/NUL0x4C/AtomPePacker,3,0,0,0,0
f/awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,3,0,0,0,0
NCSC-NL/OpenSSL-2022,https://github.com/NCSC-NL/OpenSSL-2022,3,0,0,0,0
MaximeBeasse/KeyDecoder,https://github.com/MaximeBeasse/KeyDecoder,3,0,0,0,0
infosecn1nja/red-team-scripts,https://github.com/infosecn1nja/red-team-scripts,3,1,9,776,0
